序号,买入时间,卖出时间,买入价,卖出价,收益率%,持仓小时,累计收益%
1277,2026-03-11 14:00,2026-03-12 07:00,70661.2,69609.4,-1.489,17.0,1199.78
1278,2026-03-12 20:30,2026-03-13 08:30,70164.7,71827.4,2.37,12.0,1230.58
1279,2026-03-13 15:00,2026-03-13 19:30,72474.8,71174.5,-1.794,4.5,1206.71
1280,2026-03-14 15:00,2026-03-15 17:00,70666.3,71517.1,1.204,26.0,1222.44
1281,2026-03-16 09:30,2026-03-16 21:00,73263.5,74270.7,1.375,11.5,1240.62
1282,2026-03-17 09:00,2026-03-17 15:30,74317.0,73917.4,-0.538,6.5,1233.41
1283,2026-03-18 02:30,2026-03-18 14:30,74341.0,71186.0,-4.244,12.0,1176.82
1284,2026-03-19 06:00,2026-03-19 21:00,70733.2,70555.7,-0.251,15.0,1173.62
1285,2026-03-20 04:00,2026-03-20 15:30,70924.0,69870.6,-1.485,11.5,1154.7
1286,2026-03-21 07:30,2026-03-21 19:30,70712.9,70400.0,-0.442,12.0,1149.15
1287,2026-03-22 14:30,2026-03-23 11:00,68709.8,70714.1,2.917,20.5,1185.59
1288,2026-03-23 16:00,2026-03-24 02:00,70218.2,70570.9,0.502,10.0,1192.04
1289,2026-03-24 21:30,2026-03-25 20:30,70328.8,71003.1,0.959,23.0,1204.43
1290,2026-03-26 14:30,2026-03-26 20:00,69491.8,69175.3,-0.455,5.5,1198.49
1291,2026-03-27 00:30,2026-03-27 16:30,68785.0,65980.1,-4.078,16.0,1145.54
1292,2026-03-28 05:00,2026-03-28 20:30,66346.1,66923.5,0.87,15.5,1156.38
1293,2026-03-29 19:30,2026-03-30 21:30,66350.9,66804.5,0.684,26.0,1164.97
1294,2026-03-31 13:00,2026-03-31 23:30,66807.2,68278.0,2.202,10.5,1192.82
1295,2026-04-01 05:00,2026-04-01 15:00,68587.8,68743.0,0.226,10.0,1195.74
1296,2026-04-02 16:00,2026-04-03 11:30,66880.0,67020.0,0.209,19.5,1198.46
1297,2026-04-03 23:00,2026-04-04 05:30,66860.3,66907.8,0.071,6.5,1199.38
1298,2026-04-04 13:30,2026-04-05 03:30,67198.0,67143.4,-0.081,14.0,1198.32
1299,2026-04-05 20:00,2026-04-06 13:30,67478.3,69432.7,2.896,17.5,1235.93
1300,2026-04-07 16:00,2026-04-08 15:30,68388.8,71307.4,4.268,23.5,1292.94
1301,2026-04-09 09:30,2026-04-10 06:00,71537.0,71962.9,0.595,20.5,1301.23
1302,2026-04-10 21:00,2026-04-11 09:00,73097.7,72866.7,-0.316,12.0,1296.8
1303,2026-04-11 21:30,2026-04-12 09:30,73432.5,71534.7,-2.584,12.0,1260.71
1304,2026-04-12 23:00,2026-04-13 16:00,70717.6,72239.9,2.153,17.0,1290.0
1305,2026-04-14 01:00,2026-04-14 11:00,74290.0,74360.5,0.095,10.0,1291.32
1306,2026-04-15 06:30,2026-04-16 11:00,73892.5,74380.2,0.66,28.5,1300.5
1307,2026-04-17 04:00,2026-04-17 19:00,74749.2,77270.8,3.373,15.0,1347.74
1308,2026-04-17 20:00,2026-04-18 04:30,77368.1,77109.0,-0.335,8.5,1342.9
1309,2026-04-18 23:00,2026-04-19 22:30,75812.1,74044.9,-2.331,23.5,1309.26
1310,2026-04-20 15:30,2026-04-21 03:30,75710.9,75712.3,0.002,12.0,1309.29
1311,2026-04-21 21:30,2026-04-22 07:00,75542.3,77892.2,3.111,9.5,1353.13
1312,2026-04-22 07:30,2026-04-22 22:30,78010.1,78600.7,0.757,15.0,1364.13
1313,2026-04-23 17:30,2026-04-24 11:30,77771.0,78235.5,0.597,18.0,1372.87
1314,2026-04-25 03:00,2026-04-25 10:00,77545.2,77816.9,0.35,7.0,1378.03
1315,2026-04-25 13:00,2026-04-26 01:30,77609.4,77450.0,-0.205,12.5,1375.0
1316,2026-04-26 11:30,2026-04-26 22:30,78086.7,78321.4,0.301,11.0,1379.43
1317,2026-04-28 03:00,2026-04-28 19:00,76766.0,76179.4,-0.764,16.0,1368.13
1318,2026-04-29 05:00,2026-04-29 17:30,77263.0,76182.7,-1.398,12.5,1347.6
1319,2026-04-30 10:30,2026-05-01 01:00,76030.0,76538.3,0.669,14.5,1357.28
1320,2026-05-01 15:00,2026-05-02 00:00,78544.0,78269.1,-0.35,9.0,1352.18
1321,2026-05-02 17:30,2026-05-03 10:00,78394.9,78432.8,0.048,16.5,1352.88
1322,2026-05-03 21:30,2026-05-04 09:00,78838.4,79731.4,1.133,11.5,1369.33
1323,2026-05-05 04:30,2026-05-05 21:30,80898.0,81408.2,0.631,17.0,1378.6
1324,2026-05-06 17:00,2026-05-07 03:30,81470.8,80838.1,-0.777,10.5,1367.12
1325,2026-05-07 13:30,2026-05-08 02:30,80502.2,79476.6,-1.274,13.0,1348.43
1326,2026-05-08 11:00,2026-05-09 06:00,80300.1,80316.8,0.021,19.0,1348.73
1327,2026-05-10 03:30,2026-05-10 11:30,80775.6,80829.2,0.066,8.0,1349.69
1328,2026-05-10 20:00,2026-05-11 07:30,81151.6,80751.0,-0.494,11.5,1342.53
1329,2026-05-11 20:30,2026-05-12 09:30,81816.4,80839.0,-1.195,13.0,1325.3
1330,2026-05-12 23:00,2026-05-13 16:00,80647.4,79062.5,-1.965,17.0,1297.29
1331,2026-05-14 08:00,2026-05-15 00:30,79763.4,81516.1,2.197,16.5,1327.99
1332,2026-05-16 00:00,2026-05-16 21:00,79179.4,78276.9,-1.14,21.0,1311.72
1333,2026-05-17 00:30,2026-05-17 14:00,77955.6,78040.2,0.109,13.5,1313.25
1334,2026-05-18 17:30,2026-05-19 09:30,76706.2,76819.4,0.148,16.0,1315.33
1335,2026-05-20 08:00,2026-05-21 01:00,77280.3,77884.7,0.782,17.0,1326.4
1336,2026-05-22 04:30,2026-05-22 16:00,77660.1,76940.9,-0.926,11.5,1313.19
1337,2026-05-23 08:30,2026-05-24 11:30,74682.6,77317.6,3.528,27.0,1363.06
1338,2026-05-25 04:30,2026-05-25 22:30,77396.7,77125.3,-0.351,18.0,1357.92
1339,2026-05-26 16:00,2026-05-27 06:00,76543.3,75742.9,-1.046,14.0,1342.68
